Time,[A],[B]
0,1,100
1,9.92624,0.125536
2,4.24742,0.00186904
3,1.81334,0.000475344
4,0.77413,0.000406562
5,0.330484,0.000583601
6,0.141091,0.00104497
7,0.0602398,0.00205624
8,0.0257238,0.00421247
9,0.0109884,0.0087795
10,0.0046973,0.0184328
11,0.00201105,0.0388217
12,0.000863753,0.0818726
13,0.00037351,0.172763
14,0.000163844,0.364645
15,7.40769e-05,0.769723
16,3.56976e-05,1.62487
17,1.96825e-05,3.43013
18,1.44208e-05,7.24111
19,1.92547e-05,15.2862
20,9.12642e-05,32.2692
21,0.00626787,68.0648
22,12.8601,23.5096
23,7.20066,0.015351
24,3.0752,0.000895578
25,1.31285,0.000408477
26,0.560463,0.00044832
27,0.239269,0.000715833
28,0.102152,0.00134133
29,0.0436164,0.00269111
30,0.0186271,0.00555895
31,0.00795863,0.0116268
32,0.00340366,0.0244477
33,0.00145858,0.051523
34,0.000627722,0.108689
35,0.000272592,0.229377
36,0.000120646,0.484161
37,5.55828e-05,1.02203
38,2.7871e-05,2.1575
39,1.67117e-05,4.55454
40,1.46161e-05,9.6148
41,2.8361e-05,20.2971
42,0.000295916,42.8454
43,0.106269,89.5402
44,12.083,0.743936
45,5.21462,0.00361993
46,2.22639,0.000568532
47,0.950464,0.000395818
48,0.405761,0.00052039
49,0.173227,0.000897487
50,0.0739586,0.00173798
51,0.0315805,0.00353622
52,0.0134888,0.0073486
53,0.00576485,0.0154094
54,0.00246692,0.0324367
55,0.00105849,0.0683916
56,0.000456747,0.144302
57,0.000199461,0.304561
58,8.93307e-05,0.642881
59,4.2197e-05,1.3571
60,2.23054e-05,2.86485
61,1.49505e-05,6.04778
62,1.65421e-05,12.7671
63,5.27314e-05,26.9515
64,0.00156862,56.8812
65,3.67713,89.5966
66,8.83364,0.0533133
67,3.77536,0.00137501
68,1.61178,0.000442441
69,0.688081,0.000418398
70,0.293749,0.000626902
71,0.12541,0.00114324
72,0.0535452,0.00226724
73,0.0228658,0.00466027
74,0.00976828,0.00972662
75,0.00417634,0.0204337
76,0.00178857,0.0430471
77,0.00076871,0.0907937
78,0.000332878,0.191597
79,0.000146454,0.404405
80,6.66305e-05,0.85366
81,3.25364e-05,1.80206
82,1.84472e-05,3.80419
83,1.43358e-05,8.03078
84,2.16759e-05,16.9533
85,0.000133582,35.7879
86,0.0159461,75.4082
87,13.8911,6.4361
88,6.40071,0.00848532
89,2.73314,0.00073779
90,1.16681,0.000399042
91,0.498118,0.000471019
92,0.212654,0.000775806
93,0.0907901,0.00147312
94,0.038766,0.00297229
95,0.0165564,0.00615462
96,0.00707456,0.012886
97,0.00302617,0.0271073
98,0.00129736,0.0571388
99,0.000558831,0.120545
100,0.000243129,0.254407
101,0.000108031,0.537002
102,5.01868e-05,1.13358
103,2.56113e-05,2.39299
104,1.5937e-05,5.05167
105,1.50735e-05,10.6643
106,3.45046e-05,22.5125
107,0.000510293,47.5202
108,0.372867,97.192
109,10.8092,0.255103
110,4.63428,0.00242399
111,1.97854,0.000508389
112,0.844654,0.000400468
113,0.36059,0.000555006
114,0.153944,0.000978973
115,0.0657265,0.00191407
116,0.0280662,0.00391053
117,0.0119884,0.0081407
118,0.00512427,0.0170831
119,0.00219338,0.0359714
120,0.000941642,0.0758547
121,0.000406805,0.160058
122,0.000178093,0.337823
123,8.01796e-05,0.713101
124,3.82955e-05,1.50534
125,2.07212e-05,3.17779
126,1.45903e-05,6.70841
127,1.79135e-05,14.1617
128,7.11272e-05,29.8954
129,0.00336276,63.0796
130,9.45424,51.4284
131,7.85378,0.0251312
132,3.35482,0.00105818
133,1.43223,0.000419872
134,0.611427,0.000434215
135,0.261026,0.000675929
136,0.11144,0.00125291
137,0.0475814,0.00250209
138,0.0203199,0.0051583
139,0.00868132,0.0107798
140,0.00371223,0.0226584
141,0.00159037,0.0477448
142,0.000684031,0.100712
143,0.000296672,0.212536
144,0.000130956,0.44861
145,5.99957e-05,0.946978
146,2.97303e-05,1.99906
147,1.73873e-05,4.22007
148,1.44267e-05,8.90872
149,2.50476e-05,18.8066
150,0.000206672,39.6997
151,0.0455198,83.4123
152,13.0125,1.77926
153,5.68766,0.00506202
154,2.42845,0.000628031
155,1.03673,0.000395364
156,0.442587,0.000497927
157,0.188948,0.000843132
158,0.08067,0.00161998
159,0.0344456,0.00328513
160,0.014712,0.00681708
161,0.00628709,0.0142861
162,0.00268992,0.0300644
163,0.00115374,0.0633826
164,0.000497457,0.133727
165,0.000216878,0.282236
166,9.679e-05,0.595751
167,4.53825e-05,1.2576
168,2.36163e-05,2.65481
169,1.53142e-05,5.60438
170,1.58017e-05,11.8311
171,4.34675e-05,24.9756
172,0.000947383,52.7157
173,1.42643,99.4829
174,9.62635,0.0990584
175,4.11735,0.0017157
176,1.7578,0.000465565
177,0.750419,0.000409371
178,0.320362,0.000594618
179,0.13677,0.00107008
180,0.0583951,0.00211018
181,0.0249363,0.00432696
182,0.0106522,0.00902166
183,0.00455376,0.0189444
184,0.00194975,0.039902
185,0.000837567,0.0841535
186,0.000362316,0.177579
187,0.000159055,0.374811
188,7.20267e-05,0.791183
189,3.48271e-05,1.67017
190,1.934e-05,3.52576
191,1.43849e-05,7.44301
192,1.98272e-05,15.7124
193,0.000100502,33.1689
194,0.00795096,69.9491
195,13.4757,16.8676
196,6.97875,0.0130091
197,2.98028,0.000847816
198,1.27232,0.000405422
199,0.543161,0.000454043
200,0.231883,0.000731248
